weight_config,seed,split,task,component,MAE macro [std],MAE pooled [std],RMSE pooled [std],R2 pooled [std],MAE macro [physical],MAE pooled [physical],RMSE pooled [physical],R2 pooled [physical],MAPE macro [%],N cells,N points
soh50,45,val,R0,SOC90_R0,0.5440236552573025,0.5478705636984313,1.0713371966487089,0.6248190819655643,3.5924553508574477,3.6025680245990115,4.986276648904162,0.6916415868875831,22.564051931357298,45,590
soh50,45,val,R1,SOC10_R1,0.36198276409306185,0.3739780632316879,0.6674364003655592,0.8616437970546857,1.4063307324106118,1.4836022530332031,3.9514823756905733,0.7673257496266883,5.436924395064639,45,658
soh50,45,val,R1,SOC50_R1,0.30748193498252463,0.3186618683124302,0.5210193183014871,0.8771811009923025,0.8414923250420749,0.8834261028129741,1.8995398035733388,0.8315202618814258,5.432143703043866,45,656
soh50,45,val,R1,SOC90_R1,0.35416741843377497,0.32812651151971195,0.4597069838611131,0.8011485643550607,4.6356918823215985,3.8248956257216236,6.901103205759523,0.7262769149289401,13.740339428901082,44,467
soh50,45,val,R2,SOC10_R2,0.3003520285200867,0.3141159298815045,0.5776456128048691,0.8444667742430967,0.46686463783854165,0.4871535856745066,1.0112609449636245,0.7654106614124593,4.305419387069975,45,634
soh50,45,val,R2,SOC50_R2,0.2666692813429632,0.27095248325143956,0.5621394910254364,0.7539697544209719,0.15140971271991038,0.15499093158184668,0.36484815983919133,0.6910935742534849,2.7565051156511085,45,630
soh50,45,val,R2,SOC90_R2,0.23336601019826134,0.197467730278198,0.3375152745599299,0.7601659352769853,0.2862255429787985,0.24383051047341148,0.4666022345927565,0.6977209299679581,4.784121396874427,42,382
soh50,45,test,SOH,SOH,0.1263351943270246,0.1313887589200852,0.20570187687618682,0.9239713069704173,1.3262506911775036,1.3793023651006668,2.1594319606408736,0.9239713069704173,1.868447234507595,45,622
soh50,45,test,R0,SOC10_R0,0.19591862234032578,0.19021739347293046,0.2714110398649932,0.8945496407737414,1.3289980365605867,1.3286010505841743,1.9636410020223631,0.8872375020125797,4.383244227962113,45,614
soh50,45,test,R0,SOC50_R0,0.16390579902123617,0.16749128528941323,0.25283235738651166,0.9070544908542821,1.1309447274946436,1.1822838651298835,1.864173558821545,0.8998025017138735,3.981149315162068,45,616
soh50,45,test,R0,SOC90_R0,0.3925934409175954,0.3803620685378985,0.6031922912338202,0.46082901694459333,3.2631459214957697,3.2579975519305058,4.6237437689135925,0.46939577322881165,11.451443839023783,45,558
soh50,45,test,R1,SOC10_R1,0.30765229016634804,0.3109243370571324,0.47746435451155433,0.8735283933978428,1.0428007934453272,1.0426831812372017,1.8530618350577048,0.860284581395305,4.796134428315135,45,613
soh50,45,test,R1,SOC50_R1,0.31574527615041437,0.3233039664395052,0.5032749969814184,0.8240623654834444,0.8071561008086443,0.8310646054704917,1.5198760714476702,0.7801122658469981,5.736309052557707,45,616
soh50,45,test,R1,SOC90_R1,0.2767338368064703,0.268679957351657,0.3699638350948154,0.8053611054470946,2.9720030033035614,2.6581237254424397,4.047278243112287,0.7655143554373106,10.907476230800722,44,450
soh50,45,test,R2,SOC10_R2,0.3125470662968478,0.3440352148263658,0.6787906742042713,0.7407982713980785,0.43333929516786973,0.46807752684040604,0.8823761164678958,0.744107624401602,4.487058358971776,45,603
soh50,45,test,R2,SOC50_R2,0.23542676658087597,0.24318350994411797,0.40518852905075065,0.8346723518351529,0.1261662182644314,0.13094418454352078,0.23302264880949006,0.8160023318920651,2.540263188260948,45,599
soh50,45,test,R2,SOC90_R2,0.18811929297198246,0.189702262284878,0.2651698096223316,0.8451346888972722,0.221895970010435,0.22774982389434495,0.33466382309826465,0.8202477111411175,3.8192399687170635,39,379
soh50,46,val,SOH,SOH,0.1126176126815295,0.11327305826143252,0.18070954518293886,0.9455297797982641,1.1822452757781465,1.1891260595376223,1.8970656631188445,0.9455297797982641,1.693368404091537,45,662
soh50,46,val,R0,SOC10_R0,0.19231625303604405,0.1901548133581122,0.3355649684030918,0.8351250430331787,1.2798299513793465,1.283192489967159,2.2650105803106295,0.8436972669514875,4.311238577984027,45,659
soh50,46,val,R0,SOC50_R0,0.17790137600112696,0.17984102265612084,0.302995328710355,0.8735512825167961,1.2268522969213291,1.2657563025871468,2.3322704435528707,0.8544973472831099,4.231450097469191,45,658
soh50,46,val,R0,SOC90_R0,0.5606639188169609,0.5617170461833327,1.0456416733004859,0.6426003351108069,3.634392221971397,3.6257950600585036,5.123081821326497,0.6744890178654761,20.550169227447075,45,590
soh50,46,val,R1,SOC10_R1,0.40712711207836183,0.413866518704733,0.7064855634261092,0.8449808177688432,1.6356267419224433,1.6844209810826059,3.892735770591032,0.7741926486621475,6.530116447837098,45,658
soh50,46,val,R1,SOC50_R1,0.33057414870873764,0.33886076379482205,0.5749335059545915,0.850447807070164,0.9377561683809268,0.9714934228848097,2.0569252931327555,0.802445048530339,6.04790103499029,45,656
soh50,46,val,R1,SOC90_R1,0.3277652799569143,0.32119427840846115,0.453257739178579,0.8066888145614525,4.295110920070509,3.7704744456259522,6.8012924012796185,0.7341373835735743,12.881096660804115,44,467
soh50,46,val,R2,SOC10_R2,0.36541429967711764,0.3767756499234023,0.6256050900954255,0.8175681055384468,0.567995791334483,0.583429995163406,1.0507524010076668,0.7467306808954379,5.418461392079252,45,634
soh50,46,val,R2,SOC50_R2,0.2970953163977515,0.2981276029983299,0.5739390401019638,0.7435327931546634,0.16835051753004818,0.1700049876750119,0.3668225061387829,0.6877412841427333,3.122809378503679,45,630
soh50,46,val,R2,SOC90_R2,0.2385412087108348,0.20429256990434924,0.32959416350947063,0.7712911189783864,0.2939282584403029,0.251806267082428,0.4587030448183187,0.707868966840054,4.893919590744226,42,382
soh50,46,test,SOH,SOH,0.09894249077039165,0.09709376357855137,0.16722458869480966,0.9497540237146517,1.0386855972325486,1.019277895926213,1.755502316830832,0.9497540237146517,1.4602658633779568,45,622
soh50,46,test,R0,SOC10_R0,0.18663839690456585,0.17678171725832673,0.2699233322658549,0.8957024998699658,1.276020517387072,1.2472520068804982,1.9655758100474345,0.8870151790208188,4.158627573371948,45,614
soh50,46,test,R0,SOC50_R0,0.16056048860891317,0.161952052200678,0.23998104907548606,0.9162630770861766,1.1220329185316364,1.1562136831796903,1.794568668499625,0.9071452012491998,3.8828681404243275,45,616
soh50,46,test,R0,SOC90_R0,0.43523942185868236,0.4156724268209717,0.7055366171186644,0.2623436879417447,3.3926715455610035,3.3187734653665215,4.915213502890579,0.4003912507016484,11.56680208216374,45,558
soh50,46,test,R1,SOC10_R1,0.3712802950717298,0.36592116844528894,0.5964002313099916,0.8026729001910122,1.3438933244120903,1.2977254827265192,2.530235008886764,0.7395128920794964,6.04680175012187,45,613
soh50,46,test,R1,SOC50_R1,0.32322955266646786,0.32921375402855285,0.517466367776596,0.814000277723007,0.8585266602538832,0.8733733953529986,1.5902485822585493,0.7592786097403355,5.965770012741003,45,616
soh50,46,test,R1,SOC90_R1,0.2852660053953575,0.2862710912309477,0.4047126383510878,0.7670811606465071,3.212367688720342,3.003563074499918,4.924039055183053,0.6529171835305765,11.718665064044332,44,450
soh50,46,test,R2,SOC10_R2,0.31384662633470733,0.33471962220883417,0.6438858077767357,0.7667702939625933,0.45004035867557346,0.4701500479512237,0.8601240407692579,0.7568512561128249,4.558576455753921,45,603
soh50,46,test,R2,SOC50_R2,0.23549301630289762,0.23854082020321077,0.3907346381806956,0.8462571139804116,0.12627482922686206,0.1285905939628202,0.2254077041803038,0.827831553402742,2.537863390620696,45,599
soh50,46,test,R2,SOC90_R2,0.18417467867832094,0.18830436960939012,0.27326436942090077,0.8355355593701829,0.21640936202533098,0.22631838062975823,0.34668743769137694,0.8070996109785684,3.7156719772325757,39,379
