电芯编号,电芯文件夹,文件数量,成功读取文件数,通过筛选的 SOH 数量,初始 SOH,最终 SOH,SOH 覆盖范围,SOH 覆盖跨度,温度,工况,是否存在缺失或异常,异常说明,最终 SOH 分组,工况分组
147,METABatt_Sony_Murata_18650VTC6_147,30,30,0,96.0,83.0,83.0–96.0,13.0,24.75–26.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 29 个,80–85,"PUL, PAU"
148,METABatt_Sony_Murata_18650VTC6_148,30,30,0,96.0,75.2,75.2–96.0,20.799999999999997,24.88–27.06,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 30 个,75–80,"PUL, PAU"
149,METABatt_Sony_Murata_18650VTC6_149,22,22,14,95.6,68.2,68.2–95.6,27.39999999999999,19.94–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 8 个,60–70,"PUL, PAU"
151,METABatt_Sony_Murata_18650VTC6_151,27,27,14,97.2,63.6,63.6–97.2,33.6,22.19–25.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
152,METABatt_Sony_Murata_18650VTC6_152,27,27,14,97.0,63.4,63.4–97.0,33.6,22.31–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
153,METABatt_Sony_Murata_18650VTC6_153,5,5,5,101.3,84.9,84.9–101.3,16.39999999999999,24.50–25.56,"PUL, PAU",False,无,80–85,"PUL, PAU"
154,METABatt_Sony_Murata_18650VTC6_154,27,27,9,97.0,61.9,61.9–97.0,35.1,22.12–26.06,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,60–70,"PUL, PAU"
155,METABatt_Sony_Murata_18650VTC6_155,5,5,5,95.9,89.6,89.6–95.9,6.300000000000011,24.50–25.75,"PUL, PAU",False,无,85–90,"PUL, PAU"
157,METABatt_Sony_Murata_18650VTC6_157,19,19,9,96.0,64.4,64.4–96.0,31.599999999999994,23.94–25.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 10 个,60–70,"PUL, PAU"
158,METABatt_Sony_Murata_18650VTC6_158,27,27,15,97.0,64.5,64.5–97.0,32.5,22.19–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
159,METABatt_Sony_Murata_18650VTC6_159,27,27,14,96.9,63.0,63.0–96.9,33.900000000000006,22.19–25.81,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
160,METABatt_Sony_Murata_18650VTC6_160,27,27,21,97.2,72.5,72.5–97.2,24.700000000000003,21.88–26.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 6 个,70–75,"PUL, PAU"
161,METABatt_Sony_Murata_18650VTC6_161,26,26,13,97.3,64.3,64.3–97.3,33.0,22.19–25.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
162,METABatt_Sony_Murata_18650VTC6_162,27,27,11,96.7,62.4,62.4–96.7,34.300000000000004,22.19–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 16 个,60–70,"PUL, PAU"
163,METABatt_Sony_Murata_18650VTC6_163,27,27,14,97.0,63.3,63.3–97.0,33.7,21.94–25.75,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
164,METABatt_Sony_Murata_18650VTC6_164,27,27,15,97.2,64.6,64.6–97.2,32.60000000000001,22.12–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
165,METABatt_Sony_Murata_18650VTC6_165,27,27,14,97.0,63.8,63.8–97.0,33.2,22.06–25.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
166,METABatt_Sony_Murata_18650VTC6_166,27,27,21,97.2,72.3,72.3–97.2,24.900000000000006,22.25–25.75,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 6 个,70–75,"PUL, PAU"
167,METABatt_Sony_Murata_18650VTC6_167,27,27,21,97.2,72.3,72.3–97.2,24.900000000000006,22.25–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 6 个,70–75,"PUL, PAU"
168,METABatt_Sony_Murata_18650VTC6_168,30,30,13,96.0,64.5,64.5–96.0,31.5,23.56–28.06,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,60–70,"PUL, PAU"
169,METABatt_Sony_Murata_18650VTC6_169,27,27,14,97.2,63.5,63.5–97.2,33.7,21.88–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
170,METABatt_Sony_Murata_18650VTC6_170,27,27,9,97.2,61.9,61.9–97.2,35.300000000000004,22.44–25.75,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,60–70,"PUL, PAU"
171,METABatt_Sony_Murata_18650VTC6_171,26,26,0,96.9,61.8,61.8–96.9,35.10000000000001,22.38–26.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 26 个,60–70,"PUL, PAU"
173,METABatt_Sony_Murata_18650VTC6_173,26,26,13,97.0,64.1,64.1–97.0,32.900000000000006,22.12–25.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
174,METABatt_Sony_Murata_18650VTC6_174,27,27,11,96.8,62.6,62.6–96.8,34.199999999999996,21.81–25.12,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 16 个,60–70,"PUL, PAU"
175,METABatt_Sony_Murata_18650VTC6_175,27,27,9,97.1,62.1,62.1–97.1,34.99999999999999,22.25–25.81,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,60–70,"PUL, PAU"
176,METABatt_Sony_Murata_18650VTC6_176,26,26,9,97.0,62.4,62.4–97.0,34.6,21.94–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,60–70,"PUL, PAU"
177,METABatt_Sony_Murata_18650VTC6_177,5,5,5,101.0,90.8,90.8–101.0,10.200000000000003,24.56–25.56,"PUL, PAU",False,无,90–95,"PUL, PAU"
178,METABatt_Sony_Murata_18650VTC6_178,27,27,21,97.0,72.3,72.3–97.0,24.700000000000003,22.31–25.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 6 个,70–75,"PUL, PAU"
179,METABatt_Sony_Murata_18650VTC6_179,27,27,14,97.3,63.5,63.5–97.3,33.8,22.25–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
180,METABatt_Sony_Murata_18650VTC6_180,19,19,12,95.9,68.8,68.8–95.9,27.10000000000001,23.69–25.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,60–70,"PUL, PAU"
181,METABatt_Sony_Murata_18650VTC6_181,22,22,10,97.4,65.0,65.0–97.4,32.400000000000006,19.88–25.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
182,METABatt_Sony_Murata_18650VTC6_182,23,23,10,97.4,64.2,64.2–97.4,33.2,19.94–25.81,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
183,METABatt_Sony_Murata_18650VTC6_183,25,25,0,97.0,72.4,72.4–97.0,24.599999999999994,22.38–26.75,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 25 个,70–75,"PUL, PAU"
184,METABatt_Sony_Murata_18650VTC6_184,27,27,14,97.0,63.2,63.2–97.0,33.8,22.25–25.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
185,METABatt_Sony_Murata_18650VTC6_185,27,27,0,96.7,62.6,62.6–96.7,34.1,22.25–26.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 27 个,60–70,"PUL, PAU"
187,METABatt_Sony_Murata_18650VTC6_187,27,27,20,97.1,72.2,72.2–97.1,24.89999999999999,22.25–26.06,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,70–75,"PUL, PAU"
188,METABatt_Sony_Murata_18650VTC6_188,27,27,21,97.0,72.3,72.3–97.0,24.700000000000003,22.25–26.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 6 个,70–75,"PUL, PAU"
189,METABatt_Sony_Murata_18650VTC6_189,19,19,13,95.9,69.5,69.5–95.9,26.400000000000006,23.88–25.12,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 6 个,60–70,"PUL, PAU"
190,METABatt_Sony_Murata_18650VTC6_190,13,13,11,101.1,83.3,83.3–101.1,17.799999999999997,23.69–36.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,80–85,"PUL, PAU"
191,METABatt_Sony_Murata_18650VTC6_191,30,30,17,96.3,65.8,65.8–96.3,30.5,24.06–25.75,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
