Battery_ID,筛选分类,split,ordinal,SOH,capacity_SOH,10%_CHA_1.5A__R0,10%_CHA_3.0A__R0,50%_CHA_1.5A__R0,50%_CHA_3.0A__R0,50%_DCH_3.0A__R0,90%_CHA_1.5A__R0,90%_DCH_3.0A__R0,10%_CHA_1.5A__R1,10%_CHA_3.0A__R1,50%_CHA_1.5A__R1,50%_CHA_3.0A__R1,50%_DCH_3.0A__R1,90%_CHA_1.5A__R1,90%_DCH_3.0A__R1,10%_CHA_1.5A__R2,10%_CHA_3.0A__R2,50%_CHA_1.5A__R2,50%_CHA_3.0A__R2,50%_DCH_3.0A__R2,90%_CHA_1.5A__R2,90%_DCH_3.0A__R2
339,A完整,train,6,88.5,88.5,20.21853500110048,20.59076447085746,18.371321986858128,18.683879526143667,18.76571355865448,22.47887101905368,22.86196617592205,16.744851453154126,15.740141039439887,9.568564225318127,9.26266388217957,9.600729841243009,11.865746682723374,11.858330795597206,10.539218710794556,9.59556348047181,4.011470266605106,3.702636460803783,4.306874847748513,4.000760770975442,4.066064231428919
339,A完整,train,7,86.9,86.9,20.70811526146485,20.777680827057008,18.651321849066992,19.061894803420824,19.00862448047171,23.57268502641348,22.91695039932072,16.648355077243956,15.871537598795722,9.861118043653864,9.48742157092965,9.961668927881032,12.107239783287746,12.96854715061698,10.518857201066004,9.56558667244018,4.021981820902424,3.713979023126382,4.338529063737447,4.093431292219292,4.1218930281608985
339,A完整,train,8,85.4,85.4,21.29335821979648,21.33361410487394,19.417911460034,19.646249276662555,19.77586908126217,24.82069256645159,24.88712239141412,16.62271611373849,15.916054544077882,9.80105834425252,9.60341441063155,9.931472890403324,12.22783998851875,12.381945618173892,10.425011424254183,9.521281280866107,4.103491076562302,3.7403344984015887,4.377679773277899,4.241261262734115,4.202165926771959
339,A完整,train,9,83.8,83.8,21.87292677388609,21.607739330249213,19.784227645315926,19.84049535421348,20.388559274332195,25.40057815388442,25.931385600004702,16.483722045810463,16.33034299092847,10.099759400482691,10.133923216970448,10.089818946957331,13.278581817543214,12.706915008950048,10.348776108224044,9.484551640392173,4.15742338040324,3.736196912102391,4.441505579946339,4.385000044138727,4.279183228429552
339,A完整,train,10,82.2,82.2,22.43116069205888,22.56055390593892,20.849423043847807,21.114838778316724,20.78631061881081,25.979968531448428,26.801903428469537,16.803804990273473,16.003362638386626,9.990436704872062,9.760100672847663,10.59611265929947,15.10934407297711,13.398046653856602,10.307247983407132,9.372681287219354,4.163508104888872,3.824810838465434,4.478989219735073,4.674143679151851,4.366186418679474
339,A完整,train,11,80.6,80.6,22.90581915840077,22.9064371725666,21.413896016126632,21.663984041755395,21.63202951627286,28.5637193729192,27.71392592769361,16.861793337255516,16.33904183914617,10.29585632502231,10.061827449439676,10.624032069439568,13.719096672469512,14.205075056118346,10.17449529114698,9.32068726039824,4.237411782586034,3.86900303429874,4.554867532167897,4.752034280940593,4.449795981605761
339,A完整,train,12,79.1,79.1,23.74537092047425,23.96361266556152,22.06170913244286,22.005207495655217,22.50854452703647,30.273471130331952,28.664684267084084,16.766458032343532,16.111061457169228,10.6291759991015,10.608200765810656,10.611150051663412,13.889922351536676,14.91910124281581,10.185588895038729,9.277208326865418,4.26937949593529,3.903265905799251,4.600024438198049,4.931274897084468,4.505559965171109
339,A完整,train,13,78.2,78.2,23.80315057358792,23.710994298237207,22.59305582037823,22.64204581143381,22.423354906021924,28.22945995934249,28.90778216624518,16.802577254270386,16.30143952006553,10.257757052698953,10.236905413671929,11.015652170564309,16.90910834786802,15.518483275407103,9.94221958817952,9.015244626940532,4.293594371556256,3.897084432079631,4.616319351066572,4.978394663975004,4.531904783738196
339,A完整,train,14,77.6,77.6,24.311728629066003,24.210125635539413,22.72271311798095,22.94861155085914,22.805209727900102,31.483020577813075,31.20528146715016,16.45331955094397,16.004408924111072,10.43172779793608,10.201675552306932,10.92041476127276,14.51814686071927,14.075145968572125,9.92839344862155,8.930311521290097,4.322089252636566,3.930269112547132,4.664697415283227,,4.590483429056061
339,A完整,train,15,76.9,76.9,24.565199422604177,24.72666851103072,23.24414073589477,23.485461116570285,23.19984221297363,30.423046585334703,31.32535459655453,16.803639944698112,16.17522987962536,10.461466115368772,10.301623958563686,11.144552703978228,16.762203170487567,14.943305537850414,10.002087614607053,8.881486225215083,4.321039948562936,3.948294445168005,4.723686526914815,5.220888825344133,4.651536976472228
